player,team,position,starter_probability,expected_minutes_share,team_goal_share,penalty_taker_probability,notes
Santiago Gimenez,Mexico,ST,0.72,0.64,0.30,0.20,"manual baseline, verify before final predictions"
Lyle Foster,South Africa,ST,0.78,0.68,0.31,0.10,"manual baseline, verify before final predictions"
Son Heung-min,South Korea,LW,0.95,0.88,0.38,0.85,"manual baseline, verify before final predictions"
Patrik Schick,Czechia,ST,0.82,0.73,0.36,0.65,"manual baseline, verify before final predictions"
Jonathan David,Canada,ST,0.92,0.82,0.35,0.80,"manual baseline, verify before final predictions"
Breel Embolo,Switzerland,ST,0.80,0.68,0.29,0.10,"manual baseline, verify before final predictions"
Vinicius Junior,Brazil,LW,0.94,0.82,0.27,0.20,"manual baseline, verify before final predictions"
Rodrygo,Brazil,RW,0.86,0.73,0.22,0.25,"manual baseline, verify before final predictions"
Endrick,Brazil,ST,0.55,0.42,0.25,0.10,"manual baseline, role highly uncertain"
Youssef En-Nesyri,Morocco,ST,0.86,0.72,0.34,0.20,"manual baseline, verify before final predictions"
Christian Pulisic,USA,LW,0.94,0.84,0.34,0.80,"manual baseline, verify before final predictions"
Miguel Almiron,Paraguay,RW,0.90,0.80,0.28,0.20,"manual baseline, verify before final predictions"
Harry Souttar,Australia,CB,0.88,0.82,0.11,0.00,"manual dark horse baseline, verify before final predictions"
Kenan Yildiz,Türkiye,LW,0.82,0.72,0.25,0.15,"manual baseline, verify before final predictions"
Kai Havertz,Germany,ST,0.78,0.66,0.26,0.30,"manual baseline, role highly uncertain"
Jamal Musiala,Germany,AM,0.94,0.82,0.24,0.05,"manual baseline, verify before final predictions"
Florian Wirtz,Germany,AM,0.92,0.80,0.22,0.15,"manual baseline, verify before final predictions"
Ousmane Diomande,Ivory Coast,CB,0.84,0.78,0.06,0.00,"manual dark horse baseline, verify before final predictions"
Enner Valencia,Ecuador,ST,0.80,0.70,0.36,0.75,"manual baseline, age and role uncertain"
Cody Gakpo,Netherlands,LW,0.88,0.76,0.29,0.30,"manual baseline, verify before final predictions"
Memphis Depay,Netherlands,ST,0.70,0.60,0.30,0.70,"manual baseline, squad and role uncertain"
Ayase Ueda,Japan,ST,0.76,0.62,0.28,0.35,"manual baseline, verify before final predictions"
Alexander Isak,Sweden,ST,0.94,0.84,0.38,0.75,"manual baseline, verify before final predictions"
Viktor Gyokeres,Sweden,ST,0.90,0.78,0.36,0.65,"manual baseline, verify before final predictions"
Romelu Lukaku,Belgium,ST,0.82,0.72,0.38,0.75,"manual baseline, age and role uncertain"
Mohamed Salah,Egypt,RW,0.96,0.88,0.43,0.90,"manual baseline, verify before final predictions"
Mehdi Taremi,Iran,ST,0.90,0.80,0.38,0.80,"manual baseline, verify before final predictions"
Chris Wood,New Zealand,ST,0.94,0.86,0.48,0.90,"manual baseline, verify before final predictions"
Lamine Yamal,Spain,RW,0.94,0.82,0.24,0.10,"manual baseline, verify before final predictions"
Nico Williams,Spain,LW,0.88,0.74,0.22,0.05,"manual baseline, verify before final predictions"
Alvaro Morata,Spain,ST,0.62,0.52,0.27,0.45,"manual baseline, squad and role uncertain"
Darwin Nunez,Uruguay,ST,0.88,0.76,0.34,0.20,"manual baseline, verify before final predictions"
Kylian Mbappe,France,ST,0.98,0.90,0.40,0.90,"manual baseline, verify before final predictions"
Ousmane Dembele,France,RW,0.86,0.72,0.20,0.05,"manual baseline, verify before final predictions"
Sadio Mane,Senegal,LW,0.84,0.74,0.34,0.75,"manual baseline, age and role uncertain"
Erling Haaland,Norway,ST,0.98,0.92,0.52,0.95,"manual baseline, verify before final predictions"
Lionel Messi,Argentina,AM,0.82,0.72,0.35,0.90,"manual baseline, age and tournament role highly uncertain"
Lautaro Martinez,Argentina,ST,0.82,0.68,0.31,0.10,"manual baseline, verify before final predictions"
Julian Alvarez,Argentina,ST,0.84,0.72,0.28,0.20,"manual baseline, verify before final predictions"
Cristiano Ronaldo,Portugal,ST,0.72,0.62,0.38,0.85,"manual baseline, age and tournament role highly uncertain"
Rafael Leao,Portugal,LW,0.82,0.68,0.23,0.05,"manual baseline, verify before final predictions"
Luis Diaz,Colombia,LW,0.94,0.84,0.34,0.25,"manual baseline, verify before final predictions"
Harry Kane,England,ST,0.98,0.90,0.43,0.95,"manual baseline, verify before final predictions"
Bukayo Saka,England,RW,0.94,0.82,0.25,0.20,"manual baseline, verify before final predictions"
Jude Bellingham,England,AM,0.96,0.86,0.22,0.05,"manual baseline, verify before final predictions"
Andrej Kramaric,Croatia,ST,0.78,0.66,0.30,0.70,"manual baseline, age and role uncertain"
Mohammed Kudus,Ghana,AM,0.92,0.82,0.34,0.35,"manual baseline, verify before final predictions"
