team,base_elo,adjusted_elo,elo_adjustment,model_p_champion,market_p_champion,logit_delta,raw_adjustment,adjustment_clamped,calibration_status
Mexico,1828.0,1827.0360188632012,-0.9639811367987816,0.0162,0.0157668418537983,-0.027542318194250903,-0.9639811367987816,False,matched
South Africa,1572.0,1553.403478092108,-18.596521907892082,0.0017,0.0004777830864787,-0.5313291973683452,-18.596521907892082,False,matched
South Korea,1785.0,1740.8756388475551,-44.12436115244494,0.0117,0.0033444816053511,-1.2606960329269983,-44.12436115244494,False,matched
Czechia,1718.0,1687.446706620197,-30.553293379803076,0.0057,0.0023889154323936,-0.8729512394229451,-30.553293379803076,False,matched
Canada,1748.0,1712.3775504469174,-35.622449553082575,0.0092,0.0033444816053511,-1.0177842729452165,-35.622449553082575,False,matched
Bosnia,1708.0,1660.1573060157623,-47.84269398423761,0.0056,0.0014333492594362,-1.3669341138353603,-47.84269398423761,False,matched
Qatar,1678.0,1631.1767268340402,-46.82327316595989,0.0038,0.0004777830864787,-1.3378078047417112,-46.82327316595989,False,matched
Switzerland,1897.0,1866.5807461290951,-30.419253870904896,0.0236,0.0100334448160535,-0.8691215391687113,-30.419253870904896,False,matched
Brazil,1991.0,2008.6207753673314,17.62077536733141,0.0498,0.0797897754419493,0.5034507247808975,17.62077536733141,False,matched
Morocco,1848.0,1845.2413864005398,-2.7586135994601513,0.0191,0.0176779741997133,-0.07881753141314718,-2.7586135994601513,False,matched
Haiti,1488.0,1488.0,0.0,0.0006,0.0004777830864787,0.0,0.0,False,matched
Scotland,1755.0,1707.1855664537957,-47.814433546204306,0.0093,0.0023889154323936,-1.3661266727486945,-47.814433546204306,False,matched
USA,1815.0,1805.9140650766826,-9.085934923317375,0.0142,0.0109890109890109,-0.2595981406662107,-9.085934923317375,False,matched
Paraguay,1658.0,1643.6041815475123,-14.395818452487767,0.0036,0.0023889154323936,-0.41130909864250764,-14.395818452487767,False,matched
Australia,1770.0,1709.1507912223979,-60.84920877760212,0.0081,0.0014333492594362,-1.7385488222172034,-60.84920877760212,False,matched
Türkiye,1911.0,1875.0500345960038,-35.94996540399621,0.0301,0.0109890109890109,-1.027141868685606,-35.94996540399621,False,matched
Germany,1932.0,1947.0081163397847,15.008116339784634,0.0339,0.051122790253225,0.4288033239938467,15.008116339784634,False,matched
Curaçao,1432.0,1432.0,0.0,0.0007,0.0004777830864787,0.0,0.0,False,matched
Ivory Coast,1730.0,1717.6984800440175,-12.301519955982414,0.0061,0.0043000477783086,-0.3514719987423547,-12.301519955982414,False,matched
Ecuador,1935.0,1883.8572308633172,-51.14276913668267,0.0341,0.0081223124701385,-1.4612219753337907,-51.14276913668267,False,matched
Netherlands,1944.0,1949.8744883822656,5.874488382265484,0.0321,0.0377448638318203,0.16784252520758525,5.874488382265484,False,matched
Japan,1879.0,1873.5417272339646,-5.458272766035305,0.0206,0.0176779741997133,-0.1559506504581516,-5.458272766035305,False,matched
Sweden,1792.0,1756.3775504469174,-35.622449553082575,0.0092,0.0033444816053511,-1.0177842729452165,-35.622449553082575,False,matched
Tunisia,1720.0,1667.2344531827798,-52.7655468172202,0.0045,0.0004777830864787,-1.5075870519205772,-52.7655468172202,False,matched
Belgium,1849.0,1848.1778752100597,-0.822124789940264,0.022,0.0215002388915432,-0.02348927971257897,-0.822124789940264,False,matched
Egypt,1735.0,1693.3946925361026,-41.605307463897326,0.0078,0.0023889154323936,-1.1887230703970664,-41.605307463897326,False,matched
Iran,1742.0,1679.4496004860487,-62.550399513951255,0.0085,0.0014333492594362,-1.7871542718271787,-62.550399513951255,False,matched
New Zealand,1478.0,1478.0,0.0,0.0009,0.0004777830864787,0.0,0.0,False,matched
Spain,2155.0,2162.072186430624,7.072186430624013,0.1281,0.1524128045867176,0.20206246944640038,7.072186430624013,False,matched
Cape Verde,1542.0,1542.0,0.0,0.0008,0.0004777830864787,0.0,0.0,False,matched
Saudi Arabia,1660.0,1623.9002004536892,-36.09979954631084,0.0028,0.0004777830864787,-1.0314228441803097,-36.09979954631084,False,matched
Uruguay,1890.0,1854.615014295392,-35.384985704607885,0.0271,0.0100334448160535,-1.0109995915602252,-35.384985704607885,False,matched
France,2062.0,2090.443290641811,28.443290641810844,0.0749,0.1543239369326326,0.8126654469088812,28.443290641810844,False,matched
Senegal,1869.0,1829.9813309441329,-39.01866905586723,0.0187,0.0062111801242236,-1.1148191158819207,-39.01866905586723,False,matched
Iraq,1648.0,1617.309510742718,-30.69048925728196,0.0024,0.0004777830864787,-0.8768711216366274,-30.69048925728196,False,matched
Norway,1917.0,1909.3982952475533,-7.601704752446736,0.0301,0.0243669374104156,-0.21719156435562104,-7.601704752446736,False,matched
Argentina,2114.0,2105.4628662184095,-8.537133781590665,0.1043,0.0836120401337792,-0.24391810804544756,-8.537133781590665,False,matched
Algeria,1710.0,1659.7284738398216,-50.27152616017838,0.006,0.0014333492594362,-1.4363293188622395,-50.27152616017838,False,matched
Austria,1808.0,1766.3422719807616,-41.65772801923855,0.014,0.0043000477783086,-1.1902208005496728,-41.65772801923855,False,matched
Jordan,1628.0,1600.361925074494,-27.638074925506064,0.0022,0.0004777830864787,-0.7896592835858876,-27.638074925506064,False,matched
Portugal,1986.0,2018.8966402410713,32.896640241071275,0.0473,0.1127568084089823,0.9399040068877507,32.896640241071275,False,matched
DR Congo,1652.0,1631.1166687127838,-20.883331287216038,0.0026,0.0014333492594362,-0.5966666082061725,-20.883331287216038,False,matched
Uzbekistan,1622.0,1592.8026054917532,-29.197394508246887,0.0023,0.0004777830864787,-0.8342112716641967,-29.197394508246887,False,matched
Colombia,1977.0,1944.8629144307972,-32.137085569202725,0.0454,0.0186335403726708,-0.9182024448343635,-32.137085569202725,False,matched
England,2021.0,2039.6423942164017,18.642394216401666,0.0642,0.1046344959388437,0.5326398347543333,18.642394216401666,False,matched
Croatia,1905.0,1861.9375959047943,-43.06240409520568,0.0304,0.009077878643096,-1.2303544027201623,-43.06240409520568,False,matched
Ghana,1642.0,1623.9251810252408,-18.074818974759115,0.0024,0.0014333492594362,-0.5164233992788319,-18.074818974759115,False,matched
Panama,1582.0,1572.8067386546566,-9.193261345343462,0.0013,0.0004777830864787,-0.26266460986695606,-9.193261345343462,False,matched
