fixture_id,group,round,home,away,market_slug,home_prob_raw,draw_prob_raw,away_prob_raw,home_prob_norm,draw_prob_norm,away_prob_norm,home_bid,home_ask,draw_bid,draw_ask,away_bid,away_ask,volume,liquidity,confidence
G-A-1-1,A,1,Mexico,South Africa,fifwc-mex-rsa-2026-06-11,0.695,0.205,0.105,0.691542288557214,0.2039800995024876,0.1044776119402985,0.69,0.7,0.2,0.21,0.1,0.11,658238.8889560048,1706627.3124,high
G-B-1-1,B,1,Canada,Bosnia,fifwc-can-bih-2026-06-12,0.535,0.265,0.205,0.5323383084577115,0.2636815920398009,0.2039800995024875,0.53,0.54,0.26,0.27,0.2,0.21,125634.88171100013,480562.6811,high
G-B-1-2,B,1,Qatar,Switzerland,fifwc-qat-che-2026-06-13,0.063,0.135,0.795,0.0634441087613293,0.1359516616314199,0.8006042296072508,0.062,0.064,0.13,0.14,0.79,0.8,148521.3652869999,547547.54774,high
G-C-1-2,C,1,Haiti,Scotland,fifwc-hai-sco-2026-06-13,0.145,0.215,0.625,0.1472081218274112,0.2182741116751269,0.6345177664974619,0.14,0.15,0.21,0.22,0.62,0.63,145305.60374800084,419283.7994,high
G-D-1-2,D,1,Australia,Türkiye,fifwc-aus-tur-2026-06-14,0.175,0.255,0.565,0.1758793969849246,0.2562814070351759,0.5678391959798995,0.17,0.18,0.25,0.26,0.56,0.57,76074.19509400005,479137.7941,high
G-E-1-1,E,1,Germany,Curaçao,fifwc-ger-kor-2026-06-14,0.9375,0.043,0.0225,0.9346959122632104,0.0428713858424725,0.022432701894317,0.937,0.938,0.042,0.044,0.022,0.023,466598.1371539993,201567.47076,high
G-F-1-1,F,1,Netherlands,Japan,fifwc-nld-jpn-2026-06-14,0.4649999999999999,0.265,0.265,0.4673366834170854,0.2663316582914573,0.2663316582914573,0.46,0.47,0.26,0.27,0.26,0.27,319211.52293100074,630064.154,high
G-F-1-2,F,1,Sweden,Tunisia,fifwc-swe-tun-2026-06-14,0.505,0.285,0.215,0.5024875621890547,0.2835820895522388,0.2139303482587064,0.5,0.51,0.28,0.29,0.21,0.22,29908.415009000037,313664.7729,high
G-H-1-1,H,1,Spain,Cape Verde,fifwc-esp-cvi-2026-06-15,0.905,0.0655,0.0295,0.905,0.0655,0.0295,0.9,0.91,0.065,0.066,0.029,0.03,156751.75168199994,194299.50336,high
G-H-2-1,H,2,Spain,Saudi Arabia,fifwc-esp-ksa-2026-06-21,0.875,0.0849999999999999,0.0355,0.8789552988448016,0.0853842290306378,0.0356604721245605,0.87,0.88,0.08,0.09,0.032,0.039,17978.900354,96333.92639,high
G-G-1-1,G,1,Belgium,Egypt,fifwc-bel-egy-2026-06-15,0.585,0.245,0.175,0.582089552238806,0.2437810945273632,0.1741293532338308,0.58,0.59,0.24,0.25,0.17,0.18,25158.24107199997,140803.496,high
G-H-1-2,H,1,Saudi Arabia,Uruguay,fifwc-ksa-ury-2026-06-15,0.1149999999999999,0.215,0.685,0.1133004926108374,0.2118226600985221,0.6748768472906403,0.11,0.12,0.21,0.22,0.68,0.69,52485.960526000265,192922.5312,high
G-G-1-2,G,1,Iran,New Zealand,fifwc-irn-nzl-2026-06-15,0.515,0.285,0.215,0.5073891625615763,0.2807881773399014,0.2118226600985221,0.51,0.52,0.28,0.29,0.21,0.22,85882.38604499993,173724.6136,high
G-I-1-1,I,1,France,Senegal,fifwc-fra-sen-2026-06-16,0.665,0.215,0.125,0.6616915422885572,0.2139303482587064,0.1243781094527363,0.66,0.67,0.21,0.22,0.12,0.13,70952.49949300173,215545.3569,high
G-I-1-2,I,1,Iraq,Norway,fifwc-irq-nor-2026-06-16,0.065,0.135,0.805,0.0646766169154228,0.1343283582089552,0.8009950248756218,0.06,0.07,0.13,0.14,0.8,0.81,39221.21176999999,167601.3887,high
