event_slug,game_id,title,start_time,event_date,team_a,team_b,series_slug,tags,market_count,market_types,fixture_id,group,match_round
fifwc-arg-alg-2026-06-16,90086925,Argentina vs. Algeria,2026-06-17T01:00:00Z,2026-06-16,Argentina,Algeria,soccer-fifwc,sports;fifa-world-cup;games;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-J-1-1,J,1
fifwc-aus-tur-2026-06-14,90086914,Australia vs. Türkiye,2026-06-14T04:00:00Z,2026-06-14,Australia,Türkiye,soccer-fifwc,games;fifa-world-cup;sports;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-D-1-2,D,1
fifwc-aut-jor-2026-06-17,90086926,Austria vs. Jordan,2026-06-17T04:00:00Z,2026-06-17,Austria,Jordan,soccer-fifwc,sports;games;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-J-1-2,J,1
fifwc-bel-egy-2026-06-15,90086920,Belgium vs. Egypt,2026-06-15T19:00:00Z,2026-06-15,Belgium,Egypt,soccer-fifwc,soccer;fifa-world-cup;sports;games,3,match_binary_away;match_binary_draw;match_binary_home,G-G-1-1,G,1
fifwc-bra-mar-2026-06-13,90086913,Brazil vs. Morocco,2026-06-13T22:00:00Z,2026-06-13,Brazil,Morocco,soccer-fifwc,soccer;fifa-world-cup;sports;games,3,match_binary_away;match_binary_draw;match_binary_home,G-C-1-1,C,1
fifwc-can-bih-2026-06-12,90086909,Canada vs. Bosnia-Herzegovina,2026-06-12T19:00:00Z,2026-06-12,Canada,Bosnia-Herzegovina,soccer-fifwc,fifa-world-cup;games;soccer;sports,3,match_binary_away;match_binary_draw;match_binary_home,G-B-1-1,B,1
fifwc-civ-ecu-2026-06-14,90086915,Côte d'Ivoire vs. Ecuador,2026-06-14T23:00:00Z,2026-06-14,Côte d'Ivoire,Ecuador,soccer-fifwc,sports;games;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-E-1-2,E,1
fifwc-eng-hrv-2026-06-17,90086930,England vs. Croatia,2026-06-17T20:00:00Z,2026-06-17,England,Croatia,soccer-fifwc,sports;soccer;fifa-world-cup;games,3,match_binary_away;match_binary_draw;match_binary_home,G-L-1-1,L,1
fifwc-esp-cvi-2026-06-15,90086922,Spain vs. Cabo Verde,2026-06-15T16:00:00Z,2026-06-15,Spain,Cabo Verde,soccer-fifwc,soccer;sports;games;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-H-1-1,H,1
fifwc-fra-sen-2026-06-16,90086923,France vs. Senegal,2026-06-16T19:00:00Z,2026-06-16,France,Senegal,soccer-fifwc,sports;fifa-world-cup;games;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-I-1-1,I,1
fifwc-ger-kor-2026-06-14,90086916,Germany vs. Curaçao,2026-06-14T17:00:00Z,2026-06-14,Germany,Curaçao,soccer-fifwc,sports;games;fifa-world-cup;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-E-1-1,E,1
fifwc-gha-pan-2026-06-17,90086929,Ghana vs. Panama,2026-06-17T23:00:00Z,2026-06-17,Ghana,Panama,soccer-fifwc,games;sports;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-L-1-2,L,1
fifwc-hai-sco-2026-06-13,90086912,Haiti vs. Scotland,2026-06-14T01:00:00Z,2026-06-13,Haiti,Scotland,soccer-fifwc,games;soccer;sports;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-C-1-2,C,1
fifwc-irn-nzl-2026-06-15,90086919,IR Iran vs. New Zealand,2026-06-16T01:00:00Z,2026-06-15,IR Iran,New Zealand,soccer-fifwc,games;fifa-world-cup;sports;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-G-1-2,G,1
fifwc-irq-nor-2026-06-16,90086924,Iraq vs. Norway,2026-06-16T22:00:00Z,2026-06-16,Iraq,Norway,soccer-fifwc,sports;games;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-I-1-2,I,1
fifwc-kr-cze-2026-06-11,90086907,Korea Republic vs. Czechia,2026-06-12T02:00:00Z,2026-06-11,Korea Republic,Czechia,soccer-fifwc,sports;games;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-A-1-2,A,1
fifwc-ksa-ury-2026-06-15,90086921,Saudi Arabia vs. Uruguay,2026-06-15T22:00:00Z,2026-06-15,Saudi Arabia,Uruguay,soccer-fifwc,games;sports;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-H-1-2,H,1
fifwc-mex-rsa-2026-06-11,90086908,Mexico vs. South Africa,2026-06-11T19:00:00Z,2026-06-11,Mexico,South Africa,soccer-fifwc,sports;games;fifa-world-cup;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-A-1-1,A,1
fifwc-nld-jpn-2026-06-14,90086917,Netherlands vs. Japan,2026-06-14T20:00:00Z,2026-06-14,Netherlands,Japan,soccer-fifwc,games;fifa-world-cup;sports;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-F-1-1,F,1
