event_slug,game_id,market_id,market_slug,question,sports_market_type,group_item_title,group_item_threshold,neg_risk_market_id,question_id,series_slug,tags,market_type,classification_confidence,classification_reason,active,closed,enable_order_book,clob_token_ids_count,processable
2026-fifa-world-cup-winless-team,,2071510,2026-fifa-world-cup-winless-team,World Cup: Winless Team?,,,0,,0x8ebc1dcebda2936829fc43218679e5500e49bba1a91efad278c7e1facaab5230,,soccer;fifa-world-cup;2026-fifa-world-cup;sports,unknown,low,No conservative classification rule matched.,True,False,True,2,False
fifwc-alg-aut-2026-06-27,90086973,1897443,fifwc-alg-aut-2026-06-27-alg,Will Algeria win on 2026-06-27?,moneyline,Algeria,0,0x143fa1e72577508cf90b2db2538ba6275de87b5d5caf495422a52912ed41cc00,0x143fa1e72577508cf90b2db2538ba6275de87b5d5caf495422a52912ed41cc00,soccer-fifwc,games;soccer;sports;fifa-world-cup,match_binary_home,high,sportsMarketType=moneyline.,True,False,True,2,True
fifwc-alg-aut-2026-06-27,90086973,1897444,fifwc-alg-aut-2026-06-27-draw,Will Algeria vs. Austria end in a draw?,moneyline,Draw (Algeria vs. Austria),1,0x143fa1e72577508cf90b2db2538ba6275de87b5d5caf495422a52912ed41cc00,0x143fa1e72577508cf90b2db2538ba6275de87b5d5caf495422a52912ed41cc01,soccer-fifwc,games;soccer;sports;fifa-world-cup,match_binary_draw,high,sportsMarketType=moneyline.,True,False,True,2,True
fifwc-alg-aut-2026-06-27,90086973,1897445,fifwc-alg-aut-2026-06-27-aut,Will Austria win on 2026-06-27?,moneyline,Austria,2,0x143fa1e72577508cf90b2db2538ba6275de87b5d5caf495422a52912ed41cc00,0x143fa1e72577508cf90b2db2538ba6275de87b5d5caf495422a52912ed41cc02,soccer-fifwc,games;soccer;sports;fifa-world-cup,match_binary_away,high,sportsMarketType=moneyline.,True,False,True,2,True
fifwc-alg-aut-2026-06-27-exact-score,,2323691,fifwc-alg-aut-2026-06-27-exact-score-0-0,Exact Score: Algeria 0 - 0 Austria?,soccer_exact_score,Exact Score: 0-0,0,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b00,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b00,soccer-fifwc,sports;games;soccer;fifa-world-cup,exact_score,high,Structured group item identifies exact score.,True,False,True,2,True
fifwc-alg-aut-2026-06-27-exact-score,,2323693,fifwc-alg-aut-2026-06-27-exact-score-1-0,Exact Score: Algeria 1 - 0 Austria?,soccer_exact_score,Exact Score: 1-0,2,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b00,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b02,soccer-fifwc,sports;games;soccer;fifa-world-cup,exact_score,high,Structured group item identifies exact score.,True,False,True,2,True
fifwc-alg-aut-2026-06-27-exact-score,,2323695,fifwc-alg-aut-2026-06-27-exact-score-1-1,Exact Score: Algeria 1 - 1 Austria?,soccer_exact_score,Exact Score: 1-1,4,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b00,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b04,soccer-fifwc,sports;games;soccer;fifa-world-cup,exact_score,high,Structured group item identifies exact score.,True,False,True,2,True
fifwc-alg-aut-2026-06-27-exact-score,,2323697,fifwc-alg-aut-2026-06-27-exact-score-0-3,Exact Score: Algeria 0 - 3 Austria?,soccer_exact_score,Exact Score: 0-3,6,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b00,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b06,soccer-fifwc,sports;games;soccer;fifa-world-cup,exact_score,high,Structured group item identifies exact score.,True,False,True,2,True
fifwc-alg-aut-2026-06-27-exact-score,,2323699,fifwc-alg-aut-2026-06-27-exact-score-2-1,Exact Score: Algeria 2 - 1 Austria?,soccer_exact_score,Exact Score: 2-1,8,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b00,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b08,soccer-fifwc,sports;games;soccer;fifa-world-cup,exact_score,high,Structured group item identifies exact score.,True,False,True,2,True
fifwc-alg-aut-2026-06-27-exact-score,,2323701,fifwc-alg-aut-2026-06-27-exact-score-1-3,Exact Score: Algeria 1 - 3 Austria?,soccer_exact_score,Exact Score: 1-3,10,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b00,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b0a,soccer-fifwc,sports;games;soccer;fifa-world-cup,exact_score,high,Structured group item identifies exact score.,True,False,True,2,True
fifwc-alg-aut-2026-06-27-exact-score,,2323703,fifwc-alg-aut-2026-06-27-exact-score-3-1,Exact Score: Algeria 3 - 1 Austria?,soccer_exact_score,Exact Score: 3-1,12,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b00,0xb733b01ce008dd005c9eee94043b13b929a825a97a8d5aa956bb578edf440b0c,soccer-fifwc,sports;games;soccer;fifa-world-cup,exact_score,high,Structured group item identifies exact score.,True,False,True,2,True
