event_slug,game_id,title,start_time,event_date,team_a,team_b,series_slug,tags,market_count,market_types,fixture_id,group,match_round
2026-fifa-world-cup-winless-team,,World Cup: Winless Team?,,,,,,soccer;fifa-world-cup;2026-fifa-world-cup;sports,1,unknown,,,
fifwc-alg-aut-2026-06-27,90086973,Algeria vs. Austria,2026-06-28T02:00:00Z,2026-06-27,Algeria,Austria,soccer-fifwc,games;soccer;sports;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-J-3-1,J,3
fifwc-alg-aut-2026-06-27-exact-score,,Algeria vs. Austria - Exact Score,2026-06-28T02:00:00Z,2026-06-27,Algeria,Austria - Exact Score,soccer-fifwc,sports;games;soccer;fifa-world-cup,17,exact_score,,,
fifwc-alg-aut-2026-06-27-halftime-result,,Algeria vs. Austria - Halftime Result,2026-06-28T02:00:00Z,2026-06-27,Algeria,Austria - Halftime Result,soccer-fifwc,games;soccer;sports;fifa-world-cup,3,match_binary_draw;other,,,
fifwc-alg-aut-2026-06-27-more-markets,,Algeria vs. Austria - More Markets,2026-06-28T02:00:00Z,,Algeria,Austria - More Markets,soccer-fifwc,games;soccer;sports;fifa-world-cup,25,both_teams_to_score;over_under_goals;spread,,,
fifwc-arg-alg-2026-06-16,90086925,Argentina vs. Algeria,2026-06-17T01:00:00Z,2026-06-16,Argentina,Algeria,soccer-fifwc,sports;fifa-world-cup;games;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-J-1-1,J,1
fifwc-arg-alg-2026-06-16-exact-score,,Argentina vs. Algeria - Exact Score,2026-06-17T01:00:00Z,2026-06-16,Argentina,Algeria - Exact Score,soccer-fifwc,fifa-world-cup;sports;games;soccer,17,exact_score,,,
fifwc-arg-alg-2026-06-16-first-to-score,,Argentina vs. Algeria - First Team to Score,2026-06-17T01:00:00Z,2026-06-16,Argentina,Algeria - First Team to Score,soccer-fifwc,games;sports;soccer;fifa-world-cup,3,other,,,
fifwc-arg-alg-2026-06-16-halftime-result,,Argentina vs. Algeria - Halftime Result,2026-06-17T01:00:00Z,2026-06-16,Argentina,Algeria - Halftime Result,soccer-fifwc,sports;games;soccer;fifa-world-cup,3,match_binary_draw;other,,,
fifwc-arg-alg-2026-06-16-more-markets,,Argentina vs. Algeria - More Markets,2026-06-17T01:00:00Z,,Argentina,Algeria - More Markets,soccer-fifwc,sports;soccer;fifa-world-cup;games,25,both_teams_to_score;over_under_goals;spread,,,
fifwc-arg-aut-2026-06-22,90086949,Argentina vs. Austria,2026-06-22T17:00:00Z,2026-06-22,Argentina,Austria,soccer-fifwc,sports;games;soccer;fifa-world-cup,3,match_binary_away;match_binary_draw;match_binary_home,G-J-2-1,J,2
fifwc-arg-aut-2026-06-22-exact-score,,Argentina vs. Austria - Exact Score,2026-06-22T17:00:00Z,2026-06-22,Argentina,Austria - Exact Score,soccer-fifwc,games;sports;soccer;fifa-world-cup,17,exact_score,,,
fifwc-arg-aut-2026-06-22-first-to-score,,Argentina vs. Austria - First Team to Score,2026-06-22T17:00:00Z,2026-06-22,Argentina,Austria - First Team to Score,soccer-fifwc,games;fifa-world-cup;sports;soccer,3,other,,,
fifwc-arg-aut-2026-06-22-halftime-result,,Argentina vs. Austria - Halftime Result,2026-06-22T17:00:00Z,2026-06-22,Argentina,Austria - Halftime Result,soccer-fifwc,soccer;games;fifa-world-cup;sports,3,match_binary_draw;other,,,
fifwc-arg-aut-2026-06-22-more-markets,,Argentina vs. Austria - More Markets,2026-06-22T17:00:00Z,,Argentina,Austria - More Markets,soccer-fifwc,sports;games;soccer;fifa-world-cup,25,both_teams_to_score;over_under_goals;spread,,,
fifwc-aus-tur-2026-06-14,90086914,Australia vs. Türkiye,2026-06-14T04:00:00Z,2026-06-14,Australia,Türkiye,soccer-fifwc,games;fifa-world-cup;sports;soccer,3,match_binary_away;match_binary_draw;match_binary_home,G-D-1-2,D,1
