team,old_p_champion,new_p_champion,delta_p_champion,old_p_top4,new_p_top4,delta_p_top4,old_ev_if_gold,new_ev_if_gold,delta_ev_if_gold,old_rank_top4,new_rank_top4,delta_rank_top4
Argentina,0.10208,0.10208,0.0,0.257,0.257,0.0,0.568884,0.568884,0.0,2.0,2.0,0.0
Brazil,0.05098,0.05098,0.0,0.17428,0.17428,0.0,0.3438179999999999,0.3438179999999999,0.0,5.0,5.0,0.0
Colombia,0.04424,0.04424,0.0,0.1587,0.1587,0.0,0.308062,0.308062,0.0,7.0,7.0,0.0
Croatia,0.02912,0.02912,0.0,0.12202,0.12202,0.0,0.225602,0.225602,0.0,11.0,11.0,0.0
Ecuador,0.03534,0.03534,0.0,0.14028,0.14028,0.0,0.263646,0.263646,0.0,8.0,8.0,0.0
England,0.0626,0.0626,0.0,0.19306,0.19306,0.0,0.394958,0.394958,0.0,4.0,4.0,0.0
France,0.07434,0.07434,0.0,0.22046,0.22046,0.0,0.45758,0.45758,0.0,3.0,3.0,0.0
Germany,0.03398,0.03398,0.0,0.13808,0.13808,0.0,0.257658,0.257658,0.0,10.0,10.0,0.0
Japan,0.02132,0.02132,0.0,0.10134,0.10134,0.0,0.180778,0.180778,0.0,16.0,16.0,0.0
Netherlands,0.03504,0.03504,0.0,0.13836,0.13836,0.0,0.26046,0.26046,0.0,9.0,9.0,0.0
Norway,0.02748,0.02748,0.0,0.11904,0.11904,0.0,0.2179559999999999,0.2179559999999999,0.0,14.0,14.0,0.0
Portugal,0.04904,0.04904,0.0,0.16468,0.16468,0.0,0.326876,0.326876,0.0,6.0,6.0,0.0
Spain,0.12608,0.12608,0.0,0.29484,0.29484,0.0,0.673276,0.673276,0.0,1.0,1.0,0.0
Switzerland,0.02728,0.02728,0.0,0.12138,0.12138,0.0,0.220538,0.220538,0.0,12.0,12.0,0.0
Türkiye,0.03082,0.03082,0.0,0.12112,0.12112,0.0,0.228342,0.228342,0.0,13.0,13.0,0.0
Uruguay,0.0255,0.0255,0.0,0.11262,0.11262,0.0,0.205056,0.205056,0.0,15.0,15.0,0.0
